time-(s),steering-angle-(rad),steering-angle-velocity-(rad/s),speed-(m/s),acceleration-(m/s^2),jerk-(m/s^3)
0.779548,0.00572665,0,1.98109,0,-111.287
0.78362,0.00572665,0,1.98109,0,0
0.78756,0.00500361,-0.183519,1.98346,0.600938,152.527
0.79205,0.00500361,0,1.98346,0,-133.814
0.795512,0.00432605,-0.195736,1.98568,0.642434,185.589
0.799575,0.00432605,0,1.98568,0,-158.122
0.803406,0.00432605,0,1.98568,0,0
0.8076,0.0034929,-0.198605,1.98842,0.653481,155.777
0.812667,0.0034929,0,1.98842,0,-128.99
0.815853,0.00295058,-0.170208,1.99021,0.561284,176.16
0.819509,0.00295058,0,1.99021,0,-153.528
0.823392,0.00295058,0,1.99021,0,0
0.827644,0.00289956,-0.0120025,1.99038,0.039622,9.3201
0.832329,0.00289956,0,1.99038,0,-8.45691
0.835391,0.00294992,0.016445,1.99022,-0.0542624,-17.7184
0.83936,0.00294992,0,1.99022,0,13.6733
0.843492,0.00294992,0,1.99022,0,0
0.84776,0.00323471,0.0667126,1.98928,-0.220106,-51.5606
0.852215,0.00323471,0,1.98928,0,49.4135
0.855489,0.00347739,0.0741195,1.98848,-0.244338,-74.6253
0.859433,0.00347739,0,1.98848,0,61.9457
0.863582,0.00386899,0.0943905,1.98719,-0.310815,-74.9184
0.867612,0.00386899,0,1.98719,0,77.1348
0.872262,0.00386899,0,1.98719,0,0
0.875548,0.00417257,0.092389,1.98619,-0.303875,-92.4788
0.881133,0.00417257,0,1.98619,0,54.4095
0.884434,0.00417257,0,1.98619,0,0
0.88744,0.0045953,0.140651,1.9848,-0.462042,-153.732
0.892375,0.00491597,0.0649856,1.98375,-0.213219,50.4246
0.895708,0.00491597,0,1.98375,0,63.9567
0.899817,0.00491597,0,1.98375,0,0
0.903484,0.00491597,0,1.98375,0,0
0.907439,0.00534432,0.108302,1.98234,-0.354934,-89.7403
0.912916,0.00534432,0,1.98234,0,64.805
0.915696,0.00566713,0.116121,1.98129,-0.38006,-136.714
0.919464,0.00566713,0,1.98129,0,100.86
0.92337,0.00566713,0,1.98129,0,0
0.927404,0.00609238,0.105403,1.9799,-0.344551,-85.4009
0.932106,0.00609238,0,1.9799,0,73.2799
0.93552,0.006325,0.0681429,1.97914,-0.222517,-65.184
0.939499,0.006325,0,1.97914,0,55.9267
0.943806,0.00629674,-0.00656043,1.97923,0.0214203,4.97277
0.94813,0.00629674,0,1.97923,0,-4.9544
0.952308,0.00629674,0,1.97923,0,0
0.955267,0.00589809,-0.134723,1.98053,0.440093,148.73
0.959412,0.00589809,0,1.98053,0,-106.171
0.963629,0.00589809,0,1.98053,0,0
0.967767,0.00544803,-0.108776,1.982,0.355826,85.9998
0.972334,0.0048153,-0.138526,1.98408,0.453936,21.4794
0.975842,0.0048153,0,1.98408,0,-129.406
0.979646,0.0048153,0,1.98408,0,0
0.983826,0.0048153,0,1.98408,0,0
0.98746,0.00423467,-0.159767,1.98598,0.524634,144.36
0.992232,0.00423467,0,1.98598,0,-109.947
0.995595,0.00353411,-0.208321,1.98829,0.685502,203.843
1.00021,0.00353411,0,1.98829,0,-148.559
1.00401,0.00353411,0,1.98829,0,0
1.00873,0.00307911,-0.0964183,1.98979,0.317865,67.3583
1.01321,0.00307911,0,1.98979,0,-70.9274
1.01573,0.00303231,-0.0185777,1.98994,0.061323,24.3406
1.01968,0.00303231,0,1.98994,0,-15.5459
1.02356,0.0030707,0.00988464,1.98982,-0.0326314,-8.40287
1.02747,0.0030707,0,1.98982,0,8.34599
1.0337,0.0030707,0,1.98982,0,0
1.03592,0.00330241,0.104043,1.98905,-0.343165,-154.088
1.04177,0.00330241,0,1.98905,0,58.6838
