time-(s),x-position-(m),y-position-(m),z-position-(m),roll-(rad),pitch-(rad),yaw-(rad),x-velocity-(m/s),y-velocity-(m/s),z-velocity-(m/s),x-angular-velocity-(rad/s),y-angular-velocity-(rad/s),z-angular-velocity-(rad/s),steering-angle-(rad),steering-angle-velocity-(rad/s),speed-(m/s),acceleration-(m/s^2),jerk-(m/s^3)
0.59,-29.1869032405063,0.539753798481013,0,0,0,-0.061522662835443,1.97826563037975,0,0,0,0,0.118102682025316,0.00558357,0,1.98156,0,-84.5787088402287
0.6,-29.1721236539467,0.538932273131208,0,0,0,-0.0606497711447988,1.97840793518035,0,0,0,0,0.120779109513853,0.00499939,-0.000134066990543358,1.98347,0.000439097928931043,-219.211683201218
0.61,-29.1460176980914,0.537521523231155,0,0,0,-0.059043145691151,1.97879180836707,0,0,0,0,0.12207297088876,0.00426541,-0.0969708662276583,1.98588,0.318310561806211,27.6597966133595
0.62,-29.13226,0.536797,0,0,0,-0.0582046,1.979059,0,0,0,0,0.1231084,0.00361048,0,1.98804,0,-187.641060513716
0.63,-29.1057459274194,0.535419464112903,0,0,0,-0.0567418624596774,1.97970686290323,0,0,0,0,0.0687024909677412,0.00281241,-0.125317622812312,1.99067,0.41329203862402,49.818277610139
0.64,-29.0924728625473,0.534707821941993,0,0,0,-0.0564062127112232,1.98008555611602,0,0,0,0,0.0278231091324086,0.00229788,0,1.99237,0,-133.523350151361
0.65,-29.0652694132599,0.533201303113747,0,0,0,-0.0563814454141072,1.98088239567888,0,0,0,0,-0.0193513013704723,0.00228112,-0.00184430175868208,1.99243,0.0060997540071237,-0.146610930543226
0.66,-29.0542860824742,0.532578619415808,0,0,0,-0.0565054529209622,1.98118642611684,0,0,0,0,-0.0310727397766323,0.00237664,0.000913099698643671,1.99211,-0.00301973058764365,17.7409394525368
0.67,-29.0256248812095,0.530910929589633,0,0,0,-0.0570867729157667,1.98189237580994,0,0,0,0,-0.0477558422894169,0.00272985,0,1.99094,0,39.9956229833537
0.68,-29.0135279325326,0.530194289292103,0,0,0,-0.0573862327370304,1.98214346792742,0,0,0,0,-0.0518926782264247,0.00305165,0,1.98988,0,68.5953364548494
0.69,-28.9874688707429,0.528630886675961,0,0,0,-0.0581031357100179,1.98257437960566,0,0,0,0,-0.0568685313085042,0.00355092,0.0637588609668415,1.98823,-0.210220307431088,-14.8828832001622
0.7,-28.9738470319635,0.527803188483004,0,0,0,-0.0584902511161847,1.98274215119229,0,0,0,0,-0.0588463093860985,0.00396791,0,1.98686,0,111.488017163052
0.71,-28.9467554537885,0.526133919650291,0,0,0,-0.0592990174437968,1.98294790174854,0,0,0,0,-0.0607369804746045,0.00453623,0.0641519987437203,1.98499,-0.21083336118091,1.23835814488847
0.72,-28.9343402135231,0.525360049822064,0,0,0,-0.0596749252669039,1.98298612099644,0,0,0,0,-0.0613474384341637,0.00500276,0,1.98346,0,99.2559264471583
0.73,-28.907256339814,0.523652271132713,0,0,0,-0.0605088091715976,1.98285173710904,0,0,0,0,-0.0619845757185122,0.00550691,0.0603106164807936,1.98181,-0.197567660264355,-6.77374793473852
0.74,-28.8948951713785,0.522864764823618,0,0,0,-0.0608888758568927,1.98265474605954,0,0,0,0,-0.0623271215411559,0.00588727,0,1.98057,0,89.4369782160809
0.75,-28.8680767437104,0.521154790550215,0,0,0,-0.0615353485375332,1.98192922479035,0,0,0,0,-0.00642251988136577,0.00638974,0.0685900348137002,1.97893,-0.224027761573205,-20.9803755927746
0.76,-28.8557352739726,0.520393116438356,0,0,0,-0.0614738308219178,1.98152523972603,0,0,0,0,0.0324840212328767,0.0065612,0,1.97837,0,47.8831011964899
0.77,-28.8278692015209,0.518746623785382,0,0,0,-0.0606284686100549,1.98087035699197,0,0,0,0,0.0813898385297845,0.00620018,-0.0409207694829753,1.97954,0.133551760403528,-1.79060535939587
0.78,-28.8158269086358,0.518062013767209,0,0,0,-0.0601042668335419,1.98078296620776,0,0,0,0,0.093664974718398,0.00572665,0,1.98109,0,-98.9339243614928
0.79,-28.7881860303688,0.51654165791757,0,0,0,-0.0586803015184382,1.98088004121475,0,0,0,0,0.109752503036876,0.00500361,-0.0837892984409799,1.98346,0.274370356347439,-3.07924498886422
0.8,-28.7759462273642,0.515887005030181,0,0,0,-0.0579925606136821,1.98099184607646,0,0,0,0,0.113884973843058,0.00432605,0,1.98568,0,-140.580405116157
0.81,-28.7498272397094,0.514513072639225,0,0,0,-0.0566389857142857,1.98136589588378,0,0,0,0,0.0646621361985467,0.0034929,-0.10453513617525,1.98842,0.343957731793955,20.8962421551187
0.82,-28.7364760820046,0.513793019488737,0,0,0,-0.0563243879271071,1.98161990129081,0,0,0,0,0.024736063882562,0.00295058,0,1.99021,0,-134.114595930985
0.83,-28.7096386772708,0.512297503557974,0,0,0,-0.0563301406027627,1.98217588530766,0,0,0,0,-0.0203716017161992,0.00289956,-0.00596666435432245,1.99038,0.0196968277481328,0.380369891142154
0.84,-28.6967439739414,0.51156164495114,0,0,0,-0.056496680781759,1.98243006514658,0,0,0,0,-0.0330727680781758,0.00294992,0,1.99022,0,11.5554606969991
0.85,-28.6697521323997,0.509989182686187,0,0,0,-0.0570543924252069,1.98290054742202,0,0,0,0,-0.0482709658179502,0.00323471,0.0331691153759816,1.98928,-0.109435418630751,-0.790233221099292
0.86,-28.6572263906211,0.509247271638813,0,0,0,-0.057366538912447,1.9830810675979,0,0,0,0,-0.0524446185831878,0.003530905835141,0.0128993524945768,1.98830370932755,-0.0424758026030361,43.2419292841652
0.87,-28.630147203482,0.50761979390642,0,0,0,-0.0581130374755169,1.98338909249184,0,0,0,0,-0.0576316960826985,0.00386899,0,1.98719,0,37.5223478709681
0.88,-28.6214495545389,0.507093055863231,0,0,0,-0.0583460608235011,1.98346543221767,0,0,0,0,-0.0596949982422346,0.00417257,0.0187424775290964,1.98619,-0.0616455461056422,24.6110319785129
0.89,-28.5909442107413,0.505211233612416,0,0,0,-0.0592765955074535,1.98361296916479,0,0,0,0,-0.060787606779661,0.00476164553191489,0.101400052887538,1.98425531914894,-0.3329666443769,-47.8270565349546
0.9,-28.5782450377834,0.504419055415617,0,0,0,-0.0596598537531486,1.98363300755668,0,0,0,0,-0.0615029046347607,0.00491597,0,1.98375,0,0
