time-(s),x-position-(m),y-position-(m),z-position-(m),roll-(rad),pitch-(rad),yaw-(rad),x-velocity-(m/s),y-velocity-(m/s),z-velocity-(m/s),x-angular-velocity-(rad/s),y-angular-velocity-(rad/s),z-angular-velocity-(rad/s)
0.39,-29.57930315065454,0.5644909263368094,0.0,0.0,0.0,-0.06737029487463944,1.98126,0.0,0.0,0.0,0.0,0.10965638273796324
0.4,-29.567392383603238,0.5637492998481781,0.0,0.0,0.0,-0.0667045314777328,1.981271589068826,0.0,0.0,0.0,0.0,0.11388163714574899
0.41,-29.53983205101831,0.5620765525612014,0.0,0.0,0.0,-0.06508279950627444,1.9813822299938284,0.0,0.0,0.0,0.0,0.11930634910512235
0.42,-29.52770672418168,0.5613600114184217,0.0,0.0,0.0,-0.0643547715554428,1.9814705988327834,0.0,0.0,0.0,0.0,0.12082680537934536
0.43,-29.503133889259505,0.5599275780520346,0.0,0.0,0.0,-0.06299764476317546,1.9817246731154103,0.0,0.0,0.0,0.0,0.07580390643762495
0.44,-29.488286079249217,0.5590416616266944,0.0,0.0,0.0,-0.06258420818561002,1.9819208029197082,0.0,0.0,0.0,0.0,0.02796061268039602
0.45,-29.460679380568518,0.5573373998727195,0.0,0.0,0.0,-0.06256574416631311,1.982297543487484,0.0,0.0,0.0,0.0,-0.019699781593127044
0.46,-29.449496592267835,0.5566308919888402,0.0,0.0,0.0,-0.06269522562774014,1.982432269828617,0.0,0.0,0.0,0.0,-0.03155373923874055
0.47,-29.42309593086064,0.5549280100828232,0.0,0.0,0.0,-0.063238726089305,1.982677909614692,0.0,0.0,0.0,0.0,-0.0466046514404032
0.48,-29.409159984579798,0.5540192313030069,0.0,0.0,0.0,-0.0635698098689283,1.9827660909791827,0.0,0.0,0.0,0.0,-0.05211992035466461
0.49,-29.383269575113808,0.5523038899848255,0.0,0.0,0.0,-0.06428742769347497,1.98283,0.0,0.0,0.0,0.0,-0.056836339188163866
0.5,-29.36946048050993,0.5513792103456729,0.0,0.0,0.0,-0.0646770243196862,1.9827562686933073,0.0,0.0,0.0,0.0,-0.05903086587398872
0.51,-29.34213259353202,0.5495263117734094,0.0,0.0,0.0,-0.06549613227647433,1.9822086831536674,0.0,0.0,0.0,0.0,-0.0608331520397379
0.52,-29.329630931677016,0.5486676298136646,0.0,0.0,0.0,-0.06587612645962733,1.9817989440993788,0.0,0.0,0.0,0.0,-0.06144924260869565
0.53,-29.3056197353914,0.5470144002205072,0.0,0.0,0.0,-0.06647753704520397,1.9807714718853362,0.0,0.0,0.0,0.0,-0.01628720622932677
0.54,-29.290403497942386,0.545998962962963,0.0,0.0,0.0,-0.06643418374485596,1.9800187037037036,0.0,0.0,0.0,0.0,0.03355924341563819
0.55,-29.264085559708832,0.54431514105843,0.0,0.0,0.0,-0.06563488353334646,1.978868565807594,0.0,0.0,0.0,0.0,0.0798326577218179
0.56,-29.253047498852684,0.5436284396512161,0.0,0.0,0.0,-0.06518397127122533,1.9785184212941715,0.0,0.0,0.0,0.0,0.09281599082147782
0.57,-29.224051337999175,0.5418865819267188,0.0,0.0,0.0,-0.06367888213256485,1.9781273013585838,0.0,0.0,0.0,0.0,0.10935116488266768
0.58,-29.21117198608004,0.5411342306736266,0.0,0.0,0.0,-0.06296017419835943,1.978131419338802,0.0,0.0,0.0,0.0,0.11393724881928909
0.59,-29.186903240506332,0.5397537984810127,0.0,0.0,0.0,-0.06152266283544305,1.9782656303797468,0.0,0.0,0.0,0.0,0.11810268202531639
0.6,-29.17212365394668,0.5389322731312076,0.0,0.0,0.0,-0.06064977114479876,1.978407935180345,0.0,0.0,0.0,0.0,0.12077910951385264
0.61,-29.146017698091384,0.5375215232311548,0.0,0.0,0.0,-0.05904314569115096,1.9787918083670715,0.0,0.0,0.0,0.0,0.12207297088876033
0.62,-29.132260000000002,0.536797,0.0,0.0,0.0,-0.05820460000000001,1.9790590000000001,0.0,0.0,0.0,0.0,0.12310840000000002
0.63,-29.105745927419356,0.5354194641129032,0.0,0.0,0.0,-0.05674186245967741,1.9797068629032257,0.0,0.0,0.0,0.0,0.0687024909677412
0.64,-29.09247286254729,0.5347078219419925,0.0,0.0,0.0,-0.0564062127112232,1.980085556116015,0.0,0.0,0.0,0.0,0.027823109132408583
0.65,-29.0652694132599,0.5332013031137471,0.0,0.0,0.0,-0.05638144541410718,1.9808823956788817,0.0,0.0,0.0,0.0,-0.01935130137047231
0.66,-29.054286082474228,0.5325786194158075,0.0,0.0,0.0,-0.0565054529209622,1.9811864261168386,0.0,0.0,0.0,0.0,-0.031072739776632313
0.67,-29.025624881209502,0.5309109295896328,0.0,0.0,0.0,-0.05708677291576674,1.9818923758099352,0.0,0.0,0.0,0.0,-0.04775584228941694
0.68,-29.013527932532583,0.5301942892921032,0.0,0.0,0.0,-0.05738623273703042,1.9821434679274215,0.0,0.0,0.0,0.0,-0.051892678226424745
0.69,-28.98746887074288,0.528630886675961,0.0,0.0,0.0,-0.05810313571001792,1.9825743796056563,0.0,0.0,0.0,0.0,-0.056868531308504215
0.7,-28.973847031963473,0.5278031884830036,0.0,0.0,0.0,-0.058490251116184666,1.9827421511922882,0.0,0.0,0.0,0.0,-0.058846309386098486
0.71,-28.94675545378851,0.5261339196502914,0.0,0.0,0.0,-0.059299017443796835,1.9829479017485427,0.0,0.0,0.0,0.0,-0.06073698047460445
