time-(s),steering-angle-(rad),steering-angle-velocity-(rad/s),speed-(m/s),acceleration-(m/s^2),jerk-(m/s^3)
2.21,0.00103444,0.04387089325842808,1.99656,-0.14581752808989135,-12.280183707866776
2.22,0.00157226,0.0,1.99477,0.0,152.19838641188434
2.23,0.00199039,0.0638747999999969,1.99339,-0.21164494999998976,-24.131039999995096
2.24,0.00257453,0.0,1.99145,0.0,156.91833975901824
2.25,0.00301883,0.05013883404255186,1.98999,-0.16557544255318712,1.1703685106403157
2.26,0.00361415,0.0,1.98802,0.0,125.78950652742184
2.27,0.00406397,0.04887659523809276,1.98654,-0.16085399999999186,3.4813190476227476
2.28,0.00465826,0.0,1.98459,0.0,125.66520555556295
2.29,0.00510625,0.057294781609195045,1.98312,-0.1879101226053628,-15.069219923371165
2.3,0.00569527,0.0,1.98119,0.0,164.42968592966002
2.31,0.00613868,0.06921343407407263,1.97975,-0.22621353333332858,-36.16680222222082
2.32,0.0062795949778956545,0.01246443200707229,1.9792896993810787,-0.040673616268785115,19.99643846153944
2.33,0.0069203,0.14285197660819038,1.9772,-0.46549040155946475,-214.98153606238512
2.34,0.00650689,-0.032578467153284135,1.97854,0.10620109489050922,-100.07686131386984
2.35,0.00596252,-0.15631433709449682,1.98032,0.5103766502115574,180.99124682651168
2.36,0.00512911,-0.05499911643835553,1.98305,0.1799885445205459,-212.46050000000145
2.37,0.00434756,-0.08870828025477265,1.98561,0.29108363057323394,-2.6547006369494284
2.38,0.00338568,0.0,1.98878,0.0,-210.06784435798534
2.39,0.00275921,-0.14636737500000147,1.99084,0.4829268125000049,136.69490625000228
2.4,0.00270421209205021,-0.01151642259414208,1.9910282845188283,0.03804316945606635,2.825114853555064
2.41,0.00275971,0.015640619675455537,1.99084,-0.05167147342798908,-14.267158012168943
2.42,0.003074366551724127,0.05163206354679632,1.9898036945812807,-0.1704456206896495,-27.36341280788045
2.43,0.00337296,0.07113866666666119,1.98882,-0.23456712368970942,-67.43237232703186
2.44,0.00382878,0.009181661795409302,1.98732,-0.030243273486437294,91.25976200417136
2.45,0.00418252,0.04738224328766996,1.98615,-0.15584396712328347,-13.843969589039204
2.46,0.00467573,0.0,1.98453,0.0,127.90983783784687
2.47,0.00505025,0.045517842677819706,1.98331,-0.1493010376568888,-6.409890376562451
2.48,0.00555134,0.0003759235807884731,1.98167,-0.0012312183406193444,122.57681004366364
2.49,0.00592933,0.04095592038216267,1.98043,-0.13394308280253817,2.3580732484119977
2.5,0.00642822,0.0,1.9788,0.0,107.2778161764654
2.51,0.006436019520426295,-0.005215787566605276,1.9787720071047956,0.017055644760206018,8.504416873887877
2.52,0.006163969924242441,-0.019430075757571566,1.9796611363636363,0.06349055555554185,16.01700126262281
2.53,0.00537437212371138,-0.08192519793813594,1.9822434020618556,0.2682140762886323,12.237668865968217
2.54,0.00505528,0.0,1.98329,0.0,0.0
2.55,0.00438393,-0.12299214879651277,1.98549,0.40361164113790116,60.596601750573114
2.56,0.00355852,0.0,1.98821,0.0,-196.62709643606405
2.57,0.003002121847507332,-0.10796921797654138,1.99004431085044,0.3560001175953138,79.57196099707026
2.58,0.00297067,0.0,1.99015,0.0,0.0
2.59,0.00302053,0.00904609690576666,1.98998,-0.02984687229254615,-5.89927496483843
2.6,0.00330255,0.05830211354166394,1.98905,-0.19232267559522906,-40.18945282737768
2.61,0.0035084466747572663,0.05002806820387977,1.988373131067961,-0.16486213834950228,-35.80145364077181
2.62,0.00354286,0.0037183490547250467,1.98826,-0.012253420895518036,14.936974626867155
2.63,0.00423111,0.073844279069766,1.986,-0.24283855813953012,-5.697976744184132
2.64,0.00464957,0.00502018884119293,1.98462,-0.016489510729584878,93.67490128756995
2.65,0.004967,0.04281516279069818,1.98358,-0.14045134883721094,-10.435469767442605
2.66,0.005238516156846652,0.0013935195237118109,1.982700229932252,-0.004515460480394324,51.16606254978437
2.67,0.005607423978649149,0.0032868884417984047,1.9815048901662902,-0.010650597002668877,48.40419101416546
2.68,0.005976331800451662,0.005180257359885082,1.9803095504003283,-0.0167857335249437,45.642319478546426
2.69,0.006345239622254159,0.007073626277971676,1.9791142106343667,-0.022920870047218253,42.88044794292752
2.7,0.006714147444056672,0.008966995196058354,1.9779188708684048,-0.02905600656949308,40.11857640730849
2.71,0.007083055265859168,0.010860364114144948,1.976723531102443,-0.03519114309176763,37.35670487168958
2.72,0.007451963087661681,0.012753733032231625,1.975528191336481,-0.041326279614042456,34.59483333607055
