time-(s),x-position-(m),y-position-(m),z-position-(m),roll-(rad),pitch-(rad),yaw-(rad),x-velocity-(m/s),y-velocity-(m/s),z-velocity-(m/s),x-angular-velocity-(rad/s),y-angular-velocity-(rad/s),z-angular-velocity-(rad/s)
0.6788,-29.0196,0.530558,0,0,0,-0.0571999,1.98203,0,0,0,0,-0.0518123
0.682713,-28.9998,0.529372,0,0,0,-0.0578075,1.9824,0,0,0,0,-0.0520744
0.686873,-28.9998,0.529372,0,0,0,-0.0578075,1.9824,0,0,0,0,-0.0520744
0.691894,-28.98,0.528182,0,0,0,-0.0582822,1.98268,0,0,0,0,-0.0597723
0.694733,-28.98,0.528182,0,0,0,-0.0582822,1.98268,0,0,0,0,-0.0597723
0.698775,-28.98,0.528182,0,0,0,-0.0582822,1.98268,0,0,0,0,-0.0597723
0.702717,-28.9602,0.526963,0,0,0,-0.0589517,1.98288,0,0,0,0,-0.0567925
0.706738,-28.9602,0.526963,0,0,0,-0.0589517,1.98288,0,0,0,0,-0.0567925
0.711542,-28.9404,0.525742,0,0,0,-0.0594632,1.98298,0,0,0,0,-0.0626016
0.714812,-28.9404,0.525742,0,0,0,-0.0594632,1.98298,0,0,0,0,-0.0626016
0.718796,-28.9404,0.525742,0,0,0,-0.0594632,1.98298,0,0,0,0,-0.0626016
0.72273,-28.9206,0.524494,0,0,0,-0.060155,1.983,0,0,0,0,-0.0585037
0.726811,-28.9206,0.524494,0,0,0,-0.060155,1.983,0,0,0,0,-0.0585037
0.731543,-28.9008,0.523245,0,0,0,-0.06068,1.98278,0,0,0,0,-0.0636688
0.734836,-28.9008,0.523245,0,0,0,-0.06068,1.98278,0,0,0,0,-0.0636688
0.738808,-28.9008,0.523245,0,0,0,-0.06068,1.98278,0,0,0,0,-0.0636688
0.742805,-28.881,0.52197,0,0,0,-0.0613804,1.98236,0,0,0,0,-0.0591699
0.746809,-28.881,0.52197,0,0,0,-0.0613804,1.98236,0,0,0,0,-0.0591699
0.751698,-28.8612,0.520721,0,0,0,-0.0616178,1.9817,0,0,0,0,0.0216455
0.754719,-28.8612,0.520721,0,0,0,-0.0616178,1.9817,0,0,0,0,0.0216455
0.758947,-28.8612,0.520721,0,0,0,-0.0616178,1.9817,0,0,0,0,0.0216455
0.762743,-28.8415,0.519539,0,0,0,-0.0610988,1.98107,0,0,0,0,0.0607177
0.766741,-28.8415,0.519539,0,0,0,-0.0610988,1.98107,0,0,0,0,0.0607177
0.771475,-28.8217,0.518388,0,0,0,-0.0604156,1.98078,0,0,0,0,0.0907459
0.774761,-28.8217,0.518388,0,0,0,-0.0604156,1.98078,0,0,0,0,0.0907459
0.778815,-28.8217,0.518388,0,0,0,-0.0604156,1.98078,0,0,0,0,0.0907459
0.78281,-28.8019,0.517289,0,0,0,-0.059366,1.98079,0,0,0,0,0.100587
0.786807,-28.8019,0.517289,0,0,0,-0.059366,1.98079,0,0,0,0,0.100587
0.791417,-28.7821,0.51621,0,0,0,-0.058376,1.98092,0,0,0,0,0.11382
0.794769,-28.7821,0.51621,0,0,0,-0.058376,1.98092,0,0,0,0,0.11382
0.798758,-28.7821,0.51621,0,0,0,-0.058376,1.98092,0,0,0,0,0.11382
0.802734,-28.7624,0.515176,0,0,0,-0.0571485,1.98115,0,0,0,0,0.114028
0.806853,-28.7624,0.515176,0,0,0,-0.0571485,1.98115,0,0,0,0,0.114028
0.811809,-28.7426,0.514132,0,0,0,-0.0563461,1.98149,0,0,0,0,0.036285
0.814823,-28.7426,0.514132,0,0,0,-0.0563461,1.98149,0,0,0,0,0.036285
0.818778,-28.7426,0.514132,0,0,0,-0.0563461,1.98149,0,0,0,0,0.036285
0.822729,-28.7228,0.513036,0,0,0,-0.0562759,1.98191,0,0,0,0,-0.0010553
0.826824,-28.7228,0.513036,0,0,0,-0.0562759,1.98191,0,0,0,0,-0.0010553
0.831602,-28.703,0.511925,0,0,0,-0.0563575,1.98231,0,0,0,0,-0.0301149
0.834707,-28.703,0.511925,0,0,0,-0.0563575,1.98231,0,0,0,0,-0.0301149
0.838739,-28.703,0.511925,0,0,0,-0.0563575,1.98231,0,0,0,0,-0.0301149
0.84273,-28.6832,0.510775,0,0,0,-0.056798,1.98269,0,0,0,0,-0.0394764
0.846799,-28.6832,0.510775,0,0,0,-0.056798,1.98269,0,0,0,0,-0.0394764
0.851512,-28.6634,0.509618,0,0,0,-0.0571755,1.983,0,0,0,0,-0.0524251
0.854783,-28.6634,0.509618,0,0,0,-0.0571755,1.983,0,0,0,0,-0.0524251
0.85875,-28.6634,0.509618,0,0,0,-0.0571755,1.983,0,0,0,0,-0.0524251
0.862759,-28.6436,0.508429,0,0,0,-0.0577882,1.98326,0,0,0,0,-0.0524877
